PN,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
3-1546,Validation,3,16.345901201192838,0.7193876033194719,0.6666666666666666,10.407709685313069,2.480497859627726,0.3333333333333333,18.46244185146652,34.399436201810836,16.085575244947076,22.48704852086949,30.9024182233179,8.50641047138653,7.977348702131039,5.499500007053496,22.129096539815265,0.9534261885759716,0.6666666666666666,11.48054281870524,2.032846768390511,0.6666666666666666,13.792172,35.788567,21.872843,18.98887,29.241098,10.324461,4.379995981852216,4.750357457863499,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666
301-319-724-0,Test,3,10.265348094029605,0.4261586179550837,1.0,6.2192481304978005,0.2770144021830896,0.0,2.3966263412884676,12.661974435318074,10.409323891639724,4.198392673757349,10.272922591829902,6.086320880631327,3.3220401336252263,0.1331827185016253,11.805545330047607,0.297053058043285,0.6666666666666666,6.513871192932129,0.7249295250459729,0.6666666666666666,3.829766,15.628184,11.756054,6.1221356,12.22671,6.087297,3.128975868225099,1.2909148769340568,100.0,0.0,66.66666666666666,66.66666666666666
301-319-724-0,Validation,3,9.76202035016511,0.5691826393160724,1.0,6.225889163440951,0.33268964478900187,1.0,2.546973008219392,12.308993358384503,9.360771018252809,4.125825907884422,10.351715071325373,6.42949713692733,0.9510818733793925,0.5151715832667593,10.146331787109375,0.4224561562153819,1.0,5.22487227121989,0.22120240609616945,1.0,2.6686509,12.814982,10.046686,4.561419,9.786291,5.183274,0.8453259468078628,0.5771853285115105,100.0,100.0,100.0,100.0
3022053-001,Test,3,10.734318087585793,0.91834687530203,1.0,5.0181158190020865,0.3039212121620854,0.6666666666666666,6.7722668122622665,17.50658489984806,10.365710742964058,9.468019243083631,14.452919444124197,4.879863958049707,0.9795800729816744,0.8492255199988085,14.307232538859049,0.6545443522470363,1.0,7.481925328572591,0.35466437586653954,0.6666666666666666,6.0987263,20.405958,14.340092,9.084473,16.544209,7.5073624,1.7707757949829095,0.8216148324799178,100.0,66.66666666666666,100.0,66.66666666666666
3022053-001,Validation,3,11.033399602647593,0.348694119924139,0.6666666666666666,6.9468293858516885,1.2953509342372187,0.3333333333333333,6.512232965532139,17.375453275102135,10.873300045927728,9.109582748254232,14.81906353390299,6.057079162991506,4.894409219466588,1.9518383837804119,13.552493127187093,0.480915958279222,0.6666666666666666,8.043609142303467,0.9839880665328236,0.3333333333333333,5.26049,18.708399,13.539141,8.010728,14.981995,7.03557,5.447771390279134,1.7346766515527026,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
3031863-001,Test,3,13.799871788177436,0.8901955946908151,0.6666666666666666,8.460924645208149,0.8258628310288523,0.0,15.32023460041107,29.014791682680066,13.528736674330862,17.974944924971087,25.281730441027026,7.4263932321268165,6.0794077588347895,2.653805382799213,20.705982208251953,1.3781421410657373,1.0,10.88024870554606,1.2159148387141612,0.3333333333333333,12.565979,33.27196,19.829082,17.314514,27.223837,9.519463,5.086394627888999,2.0284498768092623,66.66666666666666,0.0,100.0,33.33333333333333
3031863-001,Validation,3,13.160991184138807,0.30094768201248906,1.0,7.2190465825819174,0.9010118947799749,1.0,16.603396070350684,29.76438725448949,13.218900799484643,18.563390367349204,25.78243694993112,7.596152168231743,2.1611869538282718,0.4409233819862818,21.223472595214844,0.9217932940897886,1.0,10.024545669555664,0.46943336275445896,1.0,13.190358,34.41383,21.306683,18.133482,28.158028,9.999325,2.555950800577802,0.9389072805722031,100.0,100.0,100.0,100.0
304300-2,Test,3,15.737661059711286,0.4772592649435798,1.0,8.057302494580194,0.7762661690131482,0.6666666666666666,14.346765822602014,30.0844268823133,15.692826272620097,17.497835896343805,25.328847376743365,7.907603845680807,3.406443570593099,2.0760247052511676,20.095375696818035,0.6105230771245528,1.0,9.660786310831705,0.32512775382512626,1.0,11.970066,32.06544,20.37239,16.481848,26.142633,9.698507,4.5521697998046875,1.0923197689552366,100.0,66.66666666666666,100.0,100.0
304300-2,Validation,3,15.931365325063014,1.0660095491256785,0.3333333333333333,9.912203425070107,0.9935072756653764,0.3333333333333333,17.386186098006092,32.95989429453006,15.429021039240528,21.09187503277661,28.977704813104538,7.797422594984106,7.338293061618439,3.4729782738810484,20.797395706176758,0.7646487975843503,1.0,11.441020329793295,0.6216398670132869,0.0,12.697957,33.49535,20.983616,17.460928,27.271225,9.823929,7.604909896850589,0.7691495536621593,33.33333333333333,33.33333333333333,100.0,0.0
31075-840,Test,3,13.657206024561612,0.905816677835238,0.3333333333333333,9.247021121899207,2.2585554935467806,0.0,18.500010506066634,31.377537654184064,12.477380307711144,20.330454498775627,26.91224837128702,5.950427208546614,9.57000593672912,3.4238432935383245,21.130507532755534,1.6625913230263856,0.6666666666666666,11.35573705037435,1.6487250314219686,0.0,12.8266945,33.833282,20.96361,17.68091,27.696192,10.016159,6.106028874715172,2.878755443320938,33.33333333333333,0.0,66.66666666666666,0.0
31075-840,Validation,3,12.693014939998813,0.6372196220502891,1.0,6.7659576813098035,0.5183424810597783,0.6666666666666666,18.259312609443686,30.9523275494425,12.91663457867093,21.143783880989638,27.635158467918643,6.931803032832519,2.187185816939788,1.275489593885614,21.31951141357422,1.0810498827375494,1.0,9.993380864461264,0.49830029930589553,1.0,13.074899,34.39441,21.580185,18.111254,28.104635,10.204628,3.816168467203775,1.2729608877492913,100.0,66.66666666666666,100.0,100.0
