AircraftFamily,fleet_count,age_mean,age_median,age_min,age_max,build_year_min,build_year_max,build_year_mean,order_year_min,order_year_max,order_year_mean,lease_start_year_median,num_operators,num_owners,num_countries_operated_for,age_0_8_count,age_0_8_share,age_8_15_count,age_8_15_share,age_15_20_count,age_15_20_share,age_20_30_count,age_20_30_share,age_30_plus_count,age_30_plus_share,age_15_25_count,age_15_25_share,age_25_plus_count,age_25_plus_share,share_owned,share_leased,share_operating_lease,share_finance_lease,share_gov_mil,share_commercial
727 Family,1832,52.913530542279766,52.77481177275838,41.14442162902122,62.69404517453798,1963.0,1984.0,1972.401746724891,1960.0,1983.0,1971.0404150737302,1992.0,560,556,100,0,0.0,0,0.0,0,0.0,0,0.0,1832,1.0,0,0.0,1832,1.0,0.9798034934497817,0.02019650655021834,0.021834061135371178,0.0,0.025109170305676855,0.43122270742358076
728 Family,120,22.795231576545742,22.80355920602327,21.80424366872005,22.80355920602327,2002.0,2003.0,2002.0083333333334,1999.0,2001.0,1999.5333333333333,,5,5,4,0,0.0,0,0.0,0,0.0,120,1.0,0,0.0,120,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.55
737 Family,13301,18.311566328634413,14.78439425051335,0.0,58.43942505133471,1967.0,2026.0,2006.981655514623,1965.0,2024.0,2003.0635338345865,2018.0,1305,1532,150,3529,0.26531839711299904,3190,0.23983159160965342,1647,0.12382527629501541,2173,0.16337117509961657,2762,0.20765355988271558,2756,0.2072024659800015,3826,0.28764754529734604,0.6401022479512819,0.35989775204871816,0.26840087211487856,0.02811818660251109,0.028418915870987143,0.784226749868431
747 Family,1609,36.08196026032554,35.73169062286105,2.839151266255989,56.98836413415469,1968.0,2022.0,1989.2268489745184,1966.0,2021.0,1986.6619018023616,2018.0,366,391,78,31,0.019266625233064015,121,0.07520198881292728,58,0.036047234307022995,293,0.18210068365444376,1106,0.6873834679925419,164,0.1019266625233064,1293,0.8036047234307023,0.9123679303915475,0.08763206960845245,0.06525792417650715,0.027967681789931635,0.031696706028589185,0.6581727781230577
757 Family,1050,32.18480232065448,32.69267624914442,20.92539356605065,43.66872005475702,1982.0,2004.0,1993.144761904762,1978.0,2003.0,1990.2411820781697,2016.0,171,168,43,0,0.0,0,0.0,0,0.0,357,0.34,693,0.66,105,0.1,945,0.9,0.8790476190476191,0.12095238095238095,0.08095238095238096,0.0019047619047619048,0.02095238095238095,0.6819047619047619
767 Family,1348,25.065320488994775,28.095824777549623,0.02190280629705681,44.06570841889117,1981.0,2025.0,2000.2485163204747,1978.0,2022.0,1997.639198218263,2019.0,230,230,67,242,0.1795252225519288,113,0.08382789317507418,60,0.04451038575667656,337,0.25,596,0.4421364985163205,182,0.13501483679525222,811,0.6016320474777448,0.7737388724035609,0.22626112759643918,0.16765578635014836,0.020771513353115726,0.09272997032640949,0.6884272997032641
777 Family,1796,15.739248676425976,15.021218343600275,0.02464065708418891,31.2662559890486,1994.0,2025.0,2009.5723830734967,1990.0,2024.0,2006.1142061281337,2016.0,178,262,59,270,0.15033407572383073,627,0.34910913140311806,363,0.20211581291759464,521,0.2900890868596882,15,0.008351893095768375,593,0.3301781737193764,306,0.17037861915367483,0.7121380846325167,0.2878619153674833,0.24443207126948774,0.09020044543429843,0.008351893095768375,0.8825167037861915
787 Family,1327,7.316867543831145,7.690622861054072,0.01095140314852841,15.8466803559206,2009.0,2025.0,2017.9721175584025,2004.0,2023.0,2010.8018154311649,2018.0,94,175,59,706,0.5320271288620949,615,0.46345139412207986,6,0.00452147701582517,0,0.0,0,0.0,6,0.00452147701582517,0,0.0,0.6051243406179352,0.3948756593820648,0.3225320271288621,0.10173323285606632,0.0052750565184626974,0.9691032403918614
928 Family,4,22.80355920602327,22.80355920602327,22.80355920602327,22.80355920602327,2002.0,2002.0,2002.0,2000.0,2000.0,2000.0,,1,1,1,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,4,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A220 Family,591,3.4308791118430575,2.830937713894593,0.05749486652977413,11.79466119096509,2014.0,2025.0,2021.7648054145516,2009.0,2023.0,2016.01198630137,2023.0,47,66,34,562,0.9509306260575296,29,0.049069373942470386,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.583756345177665,0.41624365482233505,0.3011844331641286,0.08121827411167512,0.0,0.9035532994923858
