Part_Number,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
21SN41-52,Test,3,15.21790226561309,0.5146133451790607,1.0,7.813391015061836,0.4241924825511689,1.0,13.46744136187307,28.68534362748616,15.440456931468193,16.3734503860311,24.186841401092934,7.9783521797596375,0.8492069758085717,0.6090690298835244,18.59682846069336,1.0644902374277587,1.0,9.596004486083984,1.0381421657647836,0.6666666666666666,14.287495,32.884323,17.922,18.293182,27.474325,8.903704,3.766034444173178,2.827978717535971,100.0,100.0,100.0,66.66666666666666
21SN41-52,Validation,3,16.66243049082657,1.207833467729774,0.6666666666666666,9.330471229349671,1.022686756396339,0.3333333333333333,11.861955532290745,28.502709144580013,16.084688282645274,15.581124130168334,23.91957830724249,8.293240225965299,5.840850274753463,2.664704655398179,16.679271697998047,0.575215725902168,1.0,9.350574811299643,0.974570037660293,0.0,11.363635,28.042906,16.295818,14.881047,23.18749,8.137173,6.183012008666992,1.4711216088716397,66.66666666666666,33.33333333333333,100.0,0.0
2206400-2,Test,3,19.63949024473603,1.9538725076190375,0.6666666666666666,14.249037438794867,4.021254089401216,0.0,19.026534274668677,37.854032028931975,18.954535837999316,21.02082730133733,31.5397294802644,10.330005990489457,13.232991469782965,8.231831521529624,26.153342564900715,0.41866680605645323,1.0,13.626899719238281,1.2436691548179204,0.6666666666666666,24.751564,50.904907,25.914534,30.359894,43.03831,12.5882,5.764729817708331,4.676640323785275,66.66666666666666,0.0,100.0,66.66666666666666
2206400-2,Validation,3,22.339871412842157,2.4655315922441665,0.6666666666666666,14.763077102112353,0.7725409785415469,0.3333333333333333,21.11932371622758,43.389635106623224,21.98689418070428,21.755616098733807,35.45171530780675,14.25852555857329,6.7246174341392155,4.892850375877772,21.0435307820638,0.5355034424481233,1.0,10.935347239176432,0.6542551039702602,0.3333333333333333,18.418428,39.46196,20.665892,22.949667,33.277103,10.2268715,5.105711619059242,2.716341074087283,66.66666666666666,33.33333333333333,100.0,33.33333333333333
2215628-3,Test,3,17.520120661047645,1.0315681685225586,0.3333333333333333,10.431610398765082,2.17725189682185,0.0,13.398042422929855,30.42142316559392,16.99261749623117,16.680446161356688,24.605166812776762,8.052812705805863,9.092968052331898,3.362772275086013,17.087374877929687,0.565987739859979,0.3333333333333333,10.389797528584799,0.6338174361929612,0.0,12.09574,28.93074,16.724316,15.656033,24.051147,8.348831,8.350168863932291,1.7384392195260707,33.33333333333333,0.0,33.33333333333333,0.0
2215628-3,Validation,3,15.0131413707917,1.4858883490566819,1.0,8.719129602961896,0.3811955581393661,0.6666666666666666,10.687375567222482,25.700516938014186,14.648452888028565,13.387198085527459,21.589525491890015,8.290328157584023,4.626723609051647,1.9859330385486706,15.956622123718262,0.4132490061387176,1.0,8.364213307698568,0.4230793501397782,0.6666666666666666,10.852157,26.808779,16.065619,14.229225,22.179323,7.993391,3.986382166544598,1.6913963004905979,100.0,66.66666666666666,100.0,66.66666666666666
2222254-1,Test,3,16.69231706366897,0.9009658485967516,0.6666666666666666,10.565159973343633,1.1829722278949992,0.6666666666666666,11.161108582076318,27.79506623580902,16.83780868514625,13.606261995381148,23.543088388107336,10.138726330328877,3.4404485640747997,3.1355051257169593,21.251056671142578,0.195077778645902,0.6666666666666666,12.871210734049479,1.9323137400042103,0.0,16.384998,37.184795,21.072243,20.799519,31.104303,10.412401,10.42514483133952,4.116831611947892,66.66666666666666,66.66666666666666,66.66666666666666,0.0
2222254-1,Validation,3,19.319162209148,1.8824733267398648,0.6666666666666666,12.239679500686558,0.8721014108781617,0.3333333333333333,13.110288556775293,32.29861768214712,20.278845698751677,16.85740696602844,27.549641008985333,10.940196334092079,7.484738546002117,3.396102174157513,16.52139377593994,1.046615573009813,1.0,8.627862771352133,0.4793592918219991,0.6666666666666666,10.444664,26.966057,15.816027,13.823314,22.136993,8.005923,3.3439394632975272,2.2840582816281096,66.66666666666666,33.33333333333333,100.0,66.66666666666666
2233000-816-1,Test,3,9.544830696191626,0.5693183409400489,1.0,5.486706201913862,0.2647143711838225,1.0,2.6269814508933744,12.171812147085,9.44806681845764,4.351352549838385,9.838058751752248,5.490651424911395,1.843912713244834,0.22311178741798515,9.975081411997477,0.7749360809680531,0.6666666666666666,5.375088771184285,0.9359724486582659,0.0,3.7362444,13.681668,9.504389,5.535173,10.476008,4.718219,3.237695058186849,1.322456285250923,100.0,100.0,66.66666666666666,0.0
2233000-816-1,Validation,3,8.647071961610715,0.23122960978738674,0.6666666666666666,6.045126524864831,0.8095798834154171,0.6666666666666666,3.1397346789710183,11.588061661021356,8.760155583928334,4.605314864044435,9.941429365095404,5.213634339788484,2.9903556212486433,2.6070737293514945,8.985186290740968,0.7040300286179118,0.6666666666666666,5.379426717758179,0.5661305409683377,0.3333333333333333,2.8795612,11.735939,8.883396,4.436421,8.834736,4.3997197,3.8674666086832694,1.7310957580209316,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333
2293B020000,Test,3,14.584255874093216,0.4940831253010264,0.6666666666666666,8.138978973867124,1.0386038410307437,0.6666666666666666,15.163485482229518,29.643607651747214,14.594269869144476,17.434088354643237,25.086815102346563,7.484971240383082,3.260098570608973,2.4542817883055315,20.481596755981446,1.1783566637140348,0.6666666666666666,11.452751795450846,2.0836837355162654,0.3333333333333333,16.561516,36.813374,20.757608,20.901766,30.8461,10.170378,7.094307581583659,4.943055802356122,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333
2293B020000,Validation,3,17.11502990652078,0.6997222275157204,0.6666666666666666,8.848288251781243,0.9731783548574086,0.6666666666666666,16.636937414121675,33.652439246354,16.79561882976709,19.604351148635256,27.657444363984933,7.643263163679837,4.137759671413412,3.0822654155855003,18.836759312947592,0.4399271809433404,0.6666666666666666,10.04147974650065,1.2405596244488541,0.6666666666666666,15.217522,34.009815,19.047882,19.259174,28.507904,9.3424015,4.878103256225588,3.976344335416974,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2341830-3,Test,3,10.45850792197057,0.3314898208580992,1.0,5.794673100599735,0.1046319089409331,1.0,2.6071473977164494,13.06565531968702,10.41066471473628,4.713780784527546,10.508453885127281,5.763064972948831,1.0574227023513387,0.6085442689381493,10.054442405700684,0.36328670607811603,1.0,5.154079596201579,0.37539977586387424,0.6666666666666666,3.7213466,13.775788,10.029705,5.5341887,10.544762,5.0163436,1.6515652338663749,1.2045433783856936,100.0,100.0,100.0,66.66666666666666
2341830-3,Validation,3,11.271680550818864,0.34657815419107685,1.0,5.946431365664435,0.21765786542162813,1.0,3.072357362786944,14.34403791360581,11.388259484600407,5.210198665080497,11.156630030744934,5.871808267720495,1.4854985731173291,1.3273875947669587,9.280695279439291,0.39513130313339706,1.0,4.623749574025472,0.1879950453388171,1.0,3.004495,12.285191,9.330918,4.633947,9.257697,4.658079,0.6164061228434248,0.21929624308150525,100.0,100.0,100.0,100.0
2341924-2,Test,3,14.351185192927595,0.7829076667746202,1.0,8.546830354438704,0.2569103223715155,1.0,8.4452077518471,22.796392944774695,14.273511595187843,10.407561609424063,18.954391963862765,8.47620924284638,2.6614724010696347,0.5606031018094365,14.789586067199707,0.0721946431100855,1.0,7.466577212015788,0.06015906437910914,0.3333333333333333,8.952182,23.741766,14.774497,11.958901,19.40162,7.45098,3.0773111979166656,1.0776115171622158,100.0,100.0,100.0,33.33333333333333
2341924-2,Validation,3,13.690956032117185,0.4737507392406263,1.0,8.749538022224627,0.21140938286716268,0.6666666666666666,9.565564850773368,23.256520882890555,13.582157223910452,11.335379816305059,20.067641422771004,8.704840604084545,1.6897602129841864,1.1334935030551685,14.019723892211914,0.20561119222815313,1.0,7.210023403167725,0.10154524543062819,0.3333333333333333,7.9294477,21.949173,14.081717,10.750144,17.803091,7.0700426,2.8811575571695944,1.6009172851773876,100.0,66.66666666666666,100.0,33.33333333333333
2341926-2,Test,3,14.654308066259565,0.8866380118345288,0.3333333333333333,8.766946206224977,0.632411396818686,0.0,8.020851279481006,22.5184390461975,14.65179848134763,10.844265476277533,18.189078944363743,7.424705140089344,5.693589015117861,1.7373017872165395,13.495295206705729,0.5346739002078525,0.6666666666666666,7.6600321133931475,0.871346454541195,0.3333333333333333,6.957746,20.418732,13.2061,9.565824,16.357588,6.673642,4.899370511372885,1.6501065145839224,33.33333333333333,0.0,66.66666666666666,33.33333333333333
2341926-2,Validation,3,14.685114833199705,2.097348274062209,0.6666666666666666,8.421821408389214,0.7582586926038112,0.3333333333333333,8.257906765186402,22.872041193417203,14.884297268156075,10.822278167533776,18.46560785922096,7.350459256259789,4.120724636027943,2.703097616657039,13.152017052968342,0.5979614730646711,0.6666666666666666,7.459362983703613,0.6108359534803814,0.3333333333333333,6.4868827,19.595757,13.278307,9.012653,15.616268,6.7128124,5.000190099080403,1.271675335228911,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
2438-89-00,Test,3,13.244761300114485,0.04741186251021808,1.0,8.379411010941098,0.06308605267530687,0.6666666666666666,13.824698996068582,27.06946029618307,13.224412298867332,14.926170643703427,23.209092705037317,8.299189235357604,3.6927346000706263,1.2179252843278734,17.53144900004069,0.5978715389206638,1.0,9.492925961812338,0.7950638612548256,0.0,13.321149,30.8526,17.939316,17.026531,25.757689,8.908506,5.978331883748372,1.3640479349550674,100.0,66.66666666666666,100.0,0.0
2438-89-00,Validation,3,14.463090693666208,1.0867324065662336,0.6666666666666666,8.926100689972257,0.3902705490924764,0.3333333333333333,14.292208538966188,28.749098635718372,13.775934740388385,15.797422505162936,24.26744508127022,8.519799149471929,3.572799224690486,1.735626908050897,16.632349650065105,0.2568591549401148,1.0,8.592896461486816,0.5589809047704373,0.6666666666666666,11.932775,28.565125,16.498528,15.434995,23.725832,8.2114,3.6589304606119804,2.247087027045487,66.66666666666666,33.33333333333333,100.0,66.66666666666666
24E507009G03,Test,3,13.646555649175061,0.2467023888011241,0.6666666666666666,8.669178185504718,0.6897537510825003,0.6666666666666666,20.130040636682065,33.57122461739589,13.315857303906565,21.294290497805168,29.31664949482095,7.734128558461439,3.917730315160174,2.194651668621932,21.306115214029948,0.8449994025620382,0.6666666666666666,11.55651823679606,2.0417788118765046,0.6666666666666666,17.579653,38.696987,20.845255,22.178568,32.47123,10.17297,5.815949122111003,5.2382085162796,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
24E507009G03,Validation,3,14.257421523328482,0.6291076112465444,1.0,9.068740371693865,1.151416542979104,0.6666666666666666,19.056045231897098,33.31346675522558,14.415020527736225,19.975649879097517,28.3687492791265,7.8989979831797825,5.095411077790261,1.889887925731665,19.061390558878582,0.5897042844825069,1.0,10.187214533487955,0.5112749418872437,0.0,15.286572,34.347965,19.172256,19.478096,28.796728,9.346695,6.311735153198242,1.2147244384282379,100.0,66.66666666666666,100.0,0.0
2651-278-21,Test,3,14.881770110949034,0.6374334774454796,0.3333333333333333,9.816773157626095,0.7476437039449896,0.0,10.08768774540114,24.7330040930958,15.232438729650635,13.440402311475694,21.58071031087036,8.570484495365973,7.274084296246009,2.3168359660577167,15.909096781412758,0.318157794913604,0.3333333333333333,9.538894971211752,1.2888893631017058,0.3333333333333333,9.984697,25.7751,15.61447,13.235213,21.147627,7.8454113,7.156135559082031,2.5516240370241947,33.33333333333333,0.0,33.33333333333333,33.33333333333333
2651-278-21,Validation,3,15.13852967261333,0.7979738108288894,0.0,11.340661236121841,1.3904934616425477,0.0,13.455292859579478,27.63609729361025,14.251272659138042,15.830593835444068,23.589291487177206,7.833787620716347,10.467962466869311,2.793760338530502,15.427116711934408,0.8979837459707544,0.3333333333333333,9.449925422668457,1.6635328382006946,0.3333333333333333,9.057999,24.152206,14.780509,12.122972,19.695107,7.425378,7.301214536031089,3.346510871245662,0.0,0.0,33.33333333333333,33.33333333333333
2758,Test,3,22.575297467021016,1.0966995630024001,1.0,18.32863507514556,0.6675860452840203,1.0,27.067617406589278,49.6429148736103,23.243724942768925,24.37574658624743,42.70438166139299,18.417042967073392,1.451932880488646,0.08113961869929164,26.236061731974285,0.547245908046844,1.0,12.697128931681315,0.25159218519765647,0.6666666666666666,25.173594,51.409657,26.452398,30.803032,43.493317,12.8369255,4.156126658121747,2.3273904378971735,100.0,100.0,100.0,66.66666666666666
2758,Validation,3,20.21053795820944,0.4885629139725004,0.6666666666666666,17.540750526491866,2.2988555550270013,0.6666666666666666,27.284287054601325,47.409954928542675,20.208986747232597,24.352844001439752,40.23400168694449,15.696352089316989,7.7054555773448286,7.370912525549974,24.633547337849933,0.3745041625572499,0.6666666666666666,13.733484268188477,2.4632512464727827,0.6666666666666666,23.33841,47.63948,24.5421,28.624823,40.371033,11.905323,7.691379547119143,7.016355634320985,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
2790583-108,Test,3,13.678680155600086,0.32285729432436006,0.6666666666666666,8.273705107382158,0.9916553418736598,0.3333333333333333,11.733284046698804,25.339377788392095,13.763499936773412,14.3746027623041,21.963360267044607,7.690193631707787,5.111519830502989,1.8170849424714008,17.404423077901203,0.07319919173683866,0.6666666666666666,9.85666561126709,1.0281647143775692,0.3333333333333333,12.512317,29.823776,17.305523,16.226374,24.807138,8.5565605,5.707202275594077,3.747780920322074,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
2790583-108,Validation,3,14.99425273286439,1.22852882671448,1.0,8.170863297331428,0.5871373206890428,0.6666666666666666,11.805372090148703,26.799624823013094,14.265464550879647,14.647557845763215,22.52753259520809,7.8273811430718645,2.652926563832588,2.2903599606676415,15.699477513631185,0.2644674838335489,1.0,7.979368686676025,0.2893650124237302,0.6666666666666666,9.929723,25.629202,15.848061,13.215623,21.059141,7.8964033,2.7149969736735016,1.7956656667419524,100.0,66.66666666666666,100.0,66.66666666666666
